State,County,Life expectancy,Premature age-adjusted mortality,Child mortality,Infant mortality,Frequent physical distress,Diabetes prevalence,HIV prevalence,Food insecurity,Limited access to healthy foods,Drug overdose deaths,Motor vehicle crash deaths,Insufficient sleep,Uninsured adults,Other primary care providers,High school graduation,Disconnected youth,Reading scores,Math scores,School segregation,School funding adequacy,Gender pay gap,Median household income,Children eligible for free or reduced price lunch,Residential segregation - Black/white,Childcare cost burden,Childcare centers,Homicides,Suicides,Firearm fatalities,Juvenile arrests,Traffic volume,Homeownership,Severe housing cost burden,Broadband access,Population,% female,% rural
State,County,Life Expectancy,# Deaths,# Deaths,# Deaths,% Frequent Physical Distress,% Adults with Diabetes,# HIV Cases,# Food Insecure,# Limited Access,# Drug Overdose Deaths,# Motor Vehicle Deaths,% Insufficient Sleep,# Uninsured,Other Primary Care Provider Rate,High School Graduation Rate,% Disconnected Youth,Average Grade Performance,Average Grade Performance,Segregation index,Spending per-pupil,Gender Pay Gap,Median Household Income,% Enrolled in Free or Reduced Lunch,Segregation index,% household income required for childcare expenses,# childcare centers,Homicide Rate,# Deaths,# Firearm Fatalities,Juvenile Arrest Rate,Traffic Volume,# Homeowners,# Households with Severe Cost Burden,% Broadband Access,Population,% female,# rural residents
Illinois,Stark,76.1,89.0,,,13,10,,670,1180.0,,13.0,35,249.0,38.0,,,3.0,3.1,,13654.0,0.89,54219.0,45.0,,26.0,1.0,,,,,0,1849,195.0,81,5262,50.1,5994.0
Illinois,Stephenson,77.8,680.0,20.0,27.0,13,10,46.0,5160,809.0,26.0,35.0,36,1941.0,66.0,,,2.7,2.7,0.15,14636.0,0.7,57952.0,51.0,56.0,22.0,8.0,4.0,31.0,20.0,13.0,109,13792,2094.0,82,43831,51.4,19129.0
Illinois,Tazewell,78.3,1779.0,52.0,55.0,11,9,81.0,12370,12558.0,71.0,87.0,33,4981.0,57.0,,6.0,3.1,3.1,0.03,13350.0,0.73,69874.0,36.0,66.0,24.0,28.0,2.0,87.0,50.0,4.0,167,41235,4443.0,85,130777,50.8,27645.0
Illinois,Union,75.2,320.0,,,14,10,8.0,2400,517.0,10.0,12.0,35,943.0,145.0,,,2.9,2.7,0.15,14136.0,0.81,55736.0,56.0,74.0,24.0,7.0,,23.0,12.0,0.0,77,5314,567.0,68,16498,50.0,11730.0
Illinois,Vermilion,74.6,1453.0,55.0,71.0,14,11,117.0,10200,6919.0,61.0,78.0,36,3368.0,142.0,,10.0,2.7,2.7,0.23,14592.0,0.77,49678.0,62.0,61.0,30.0,13.0,10.0,64.0,65.0,15.0,191,21964,3424.0,79,74855,50.1,25513.0
Illinois,Wabash,78.6,166.0,,,13,9,7.0,1340,397.0,,,35,514.0,107.0,,,2.8,3.1,0.03,11450.0,0.63,56190.0,53.0,,28.0,2.0,,,,,133,3847,340.0,78,11190,50.2,4647.0
Illinois,Warren,76.6,255.0,11.0,,13,10,,1840,504.0,,12.0,35,906.0,54.0,,,2.7,2.9,0.08,14276.0,0.71,57964.0,52.0,73.0,20.0,6.0,,10.0,,0.0,61,5120,465.0,84,16696,50.5,8053.0
Illinois,Washington,79.4,167.0,,,11,8,0.0,1120,527.0,,29.0,34,516.0,87.0,,,3.3,3.0,0.06,11332.0,0.74,69386.0,36.0,,20.0,2.0,,16.0,11.0,,41,4747,418.0,80,13764,50.0,10838.0
Illinois,Wayne,76.5,261.0,11.0,,14,10,9.0,2060,1408.0,,24.0,35,913.0,81.0,,,3.3,3.1,0.09,11905.0,0.78,49649.0,45.0,64.0,23.0,4.0,,17.0,,6.0,70,5459,496.0,72,16031,50.6,11721.0
Illinois,White,74.8,262.0,,,14,10,,1710,341.0,,24.0,35,646.0,105.0,,,3.0,2.9,0.08,11896.0,0.67,46080.0,56.0,,25.0,4.0,,19.0,10.0,42.0,91,4825,559.0,78,13364,50.7,9097.0
Illinois,Whiteside,77.6,834.0,28.0,21.0,12,10,,5730,3662.0,20.0,50.0,34,2507.0,135.0,,6.0,3.2,3.0,0.11,14825.0,0.7,64413.0,50.0,58.0,25.0,13.0,,45.0,22.0,7.0,138,17264,1940.0,82,54656,50.6,21845.0
Illinois,Will,79.2,7071.0,282.0,298.0,11,10,575.0,38860,49798.0,414.0,387.0,37,36040.0,70.0,,6.0,3.1,3.1,0.21,16315.0,0.74,90349.0,37.0,52.0,20.0,120.0,4.0,378.0,266.0,5.0,289,189122,26312.0,91,688726,50.4,26624.0
Illinois,Williamson,77.3,1032.0,37.0,38.0,13,10,54.0,8490,8171.0,33.0,75.0,35,3070.0,182.0,,,3.2,3.2,0.04,10026.0,0.75,59174.0,50.0,50.0,26.0,14.0,3.0,53.0,44.0,5.0,139,19712,3115.0,80,66415,50.2,23091.0
Illinois,Winnebago,76.2,4576.0,183.0,183.0,13,11,326.0,34520,21479.0,419.0,219.0,35,16409.0,134.0,,9.0,2.5,2.5,0.17,14749.0,0.77,54971.0,55.0,53.0,29.0,36.0,10.0,202.0,190.0,10.0,347,75877,14381.0,84,281295,51.2,23368.0
Illinois,Woodford,79.1,417.0,25.0,20.0,10,8,23.0,2970,1812.0,10.0,40.0,32,1398.0,60.0,,,3.3,3.3,0.03,12801.0,0.67,72980.0,26.0,53.0,23.0,7.0,,28.0,15.0,4.0,42,11807,1188.0,86,38091,50.1,21221.0
Indiana,,76.5,97951.0,3652.0,4034.0,13,11,11638.0,834530,561172.0,5649.0,5834.0,38,460946.0,110.0,87.0,6.0,3.1,3.2,0.26,10347.0,0.76,60794.0,48.0,68.0,18.0,,7.0,5200.0,5107.0,19.0,385,1808293,269791.0,83,6754953,50.7,1786702.0
Indiana,Adams,77.9,433.0,37.0,39.0,16,11,5.0,4500,1632.0,18.0,38.0,36,2905.0,45.0,93.0,11.0,3.0,3.0,0.03,10434.0,0.84,58602.0,38.0,76.0,17.0,11.0,,12.0,10.0,16.0,200,9739,1075.0,73,35839,50.1,18457.0
Indiana,Allen,76.6,5071.0,229.0,272.0,13,11,555.0,43760,42952.0,313.0,263.0,36,27713.0,194.0,90.0,9.0,3.1,3.1,0.14,9703.0,0.74,61039.0,48.0,54.0,18.0,87.0,10.0,241.0,287.0,40.0,298,100935,13909.0,87,382187,51.0,42212.0
Indiana,Bartholomew,78.0,1087.0,39.0,59.0,13,10,64.0,10010,8053.0,68.0,89.0,35,5324.0,96.0,86.0,7.0,3.1,3.2,0.08,9792.0,0.7,70545.0,43.0,54.0,18.0,18.0,2.0,64.0,45.0,10.0,321,22529,3026.0,85,84447,49.7,25882.0
Indiana,Benton,76.8,143.0,,,15,11,7.0,1170,98.0,,16.0,38,644.0,11.0,98.0,,3.1,3.5,0.07,12431.0,0.71,59663.0,48.0,,19.0,1.0,,10.0,,18.0,6,2546,332.0,83,8741,50.0,8854.0
Indiana,Blackford,75.0,234.0,,,15,11,15.0,1740,963.0,11.0,16.0,38,736.0,51.0,93.0,,3.1,3.2,0.02,10354.0,0.92,49105.0,59.0,,19.0,2.0,,,,9.0,217,3676,500.0,77,11782,50.8,6461.0
Indiana,Boone,78.2,720.0,27.0,23.0,10,8,61.0,5630,1396.0,58.0,43.0,33,3241.0,107.0,96.0,,3.5,3.7,0.04,9954.0,0.76,92302.0,19.0,47.0,16.0,20.0,3.0,53.0,41.0,19.0,334,20293,2080.0,90,69347,50.2,19487.0
Indiana,Brown,78.3,251.0,,,13,10,18.0,1630,162.0,,22.0,36,953.0,40.0,98.0,,3.3,3.4,0.03,12317.0,0.72,70930.0,48.0,,19.0,,,17.0,11.0,,17,5439,630.0,83,15112,50.2,15242.0
Indiana,Carroll,80.3,239.0,10.0,,14,11,15.0,2270,89.0,13.0,19.0,35,1331.0,64.0,93.0,,3.2,3.3,0.02,10226.0,0.77,62388.0,48.0,,16.0,3.0,7.0,15.0,12.0,10.0,21,6437,529.0,78,20228,49.4,16407.0
Indiana,Cass,75.8,602.0,30.0,31.0,15,12,26.0,4930,1046.0,25.0,42.0,37,3510.0,99.0,94.0,,3.0,3.0,0.13,10221.0,0.76,50419.0,56.0,72.0,18.0,6.0,,33.0,24.0,28.0,181,10978,1165.0,77,37388,50.0,17405.0
