State,County,State_County,Premature_death,Percentage_Fair_or_Poor_Health,Average_Number_of_Physically_Unhealthy_Days,Average_Number_of_Mentally_Unhealthy_Days,Percentage_Low_birthweight,Percentage_Smokers,Percentage_Adults_with_Obesity,Food_Environment_Index,Percentage_Physically_Inactive,Percentage_With_Access_to_Exercise_Opportunities,Alcohol_impaired_driving_deaths,Sexually_transmitted_infections_Chlamydia_Cases,Teen_Birth_Rate,Uninsured,Primary_care_physicians,Dentists,Mental_health_providers,Preventable_Hospitalization_Rate,Percentage_With_Annual_Mammogram,Percentage_Vaccinated,High_school_completion,Some_college,Unemployment,Percentage_Children_in_Poverty,Income_inequality_80th_Percentile_Income,Children_in_single-parent_households,Social_associations,Annual_Average_Violent_Crimes,Injury_deaths,Air_pollution_particulate_matter_Average_Daily_PM,Percentage_Severe_Housing_Problems,Percentage_Drive_Alone_to_Work,Workers_Drive_Alone_to_Work
Missouri,Vernon,Missouri_Vernon,379,22,4.9,5.3,7,26,37,6.3,35,41,6,74,27,2443,7,9,82,4210,31,35,12125,2171,411,22,84829,1026,23,121,80,8.3,13,75,8630
Missouri,Warren,Missouri_Warren,473,20,4.5,5,7,24,36,8,34,53,8,95,25,3348,6,9,19,3943,40,49,21609,4661,1057,12,118799,1978,27,138,171,8.8,14,85,16494
Missouri,Washington,Missouri_Washington,561,25,5.2,5.5,10,27,38,6.7,37,54,9,55,43,2883,7,11,20,8358,37,33,13685,2821,728,25,81493,1559,19,94,141,8,12,82,8900
Missouri,Wayne,Missouri_Wayne,277,27,5.5,5.8,9,29,38,4.9,39,54,3,17,40,1617,5,1,13,3865,38,19,7808,1010,310,36,70479,443,13,26,77,8.5,13,68,4365
Missouri,Webster,Missouri_Webster,578,23,4.9,5.3,6,25,39,7.6,35,50,11,121,38,4792,9,10,27,3980,38,47,21970,5313,926,25,99165,1836,32,67,186,8.2,13,80,15731
Missouri,Worth,Missouri_Worth,1436.113089,20,4.4,5,9,22,36,7.7,33,2,0,4,26.14933965,211,1,1,316.050034,1333,39,32,1298,225,49,18,95844,149,3,2,11,7.6,11,76,883
Missouri,Wright,Missouri_Wright,360,27,5.6,5.8,7,30,38,6,40,31,2,49,36,2729,3,9,21,3604,35,34,9943,1613,518,29,69083,866,22,51,78,8,14,84,6597
Missouri,St. Louis City,Missouri_St. Louis City,6120,23,4.5,4.7,13,20,36,7.4,32,98,87,4223,32,31216,285,189,1282,4819,39,43,193998,75634,12958,29,96886,28338,417,5760,2660,10.7,21,71,154771
Montana,Beaverhead,Montana_Beaverhead,98,15,3.9,4.5,7,17,30,8,22,63,6,49,10,741,15,5,19,735,50,53,6118,1427,203,16,93431,315,8,10,37,5,17,75,4445
Montana,Big Horn,Montana_Big Horn,340,25,5.7,5.8,9,27,39,5.4,30,48,47,213,73,1633,7,8,11,7161,36,38,6733,1603,357,36,98110,1225,8,71,132,6.8,24,69,4828
Montana,Blaine,Montana_Blaine,131,24,5.5,5.7,8,28,38,5.4,28,39,6,57,45,838,5,6,15,4349,32,25,3724,991,109,23,87250,619,5,8,48,6.4,16,73,2479
Montana,Broadwater,Montana_Broadwater,1436.113089,15,3.9,4.6,5,18,29,8.7,21,45,4,16,19,502,2,2,5,2872,34,45,4115,715,163,13,101483,129,4,25,19,5.4,8,84,2586
Montana,Carbon,Montana_Carbon,150,14,3.7,4.4,5,17,29,8.7,19,41,8,21,11,915,6,7,10,1805,46,51,7832,1384,334,13,108569,458,11,25,60,5.9,12,69,5215
Montana,Carter,Montana_Carter,1436.113089,15,4.1,4.8,8.21113307,19,30,5.5,23,21,0,0,26.14933965,121,0,0,316.050034,694,46,38,904,170,19,19,91296,10,0,0,408.1056964,5.4,13,58,639
Montana,Cascade,Montana_Cascade,1247,17,4.1,4.7,8,20,32,7.8,22,78,27,520,27,6236,67,75,285,3108,52,47,51521,13729,2236,16,100492,4474,105,200,416,6.4,13,81,38620
Montana,Chouteau,Montana_Chouteau,70,18,4.5,5,8,20,31,6.4,25,32,9,8,26.14933965,615,84.03515233,1,5,1468,48,27,3695,782,95,21,89906,301,6,408.619451,29,6.2,10,66,2531
Montana,Custer,Montana_Custer,152,15,4,4.7,7,19,31,8.4,23,64,1,37,28,830,9,7,41,2778,46,40,7726,1930,300,13,105915,343,8,26,53,6.1,11,72,6039
Montana,Daniels,Montana_Daniels,1436.113089,14,3.8,4.6,8.21113307,18,31,9.2,21,55.14122635,0,593.7559524,26.14933965,134,0,2,316.050034,3205,45,6,1245,211,25,13,100100,51,0,1,408.1056964,5.9,12,68,853
Montana,Dawson,Montana_Dawson,115,15,3.9,4.6,7,18,32,7.8,23,63,4,14,20,482,5,5,18,2838,42,42,5985,1485,260,13,96900,384,12,26,30,5.7,11,77,4608
Montana,Deer Lodge,Montana_Deer Lodge,181,19,4.6,5.1,9,22,33,7.8,26,78,3,35,18,639,9,8,49,4626,38,49,6481,1210,256,21,79717,498,7,36,64,5.5,14,78,3828
Montana,Fallon,Montana_Fallon,1436.113089,14,3.8,4.6,7,18,29,8.8,21,2,15.9187801,12,26.14933965,268,3,1,316.050034,6736,44,35,1870,601,66,11,120574,197,8,6,408.1056964,5.4,6,78,1553
