State,County,State_County,Premature_death,Percentage_Fair_or_Poor_Health,Average_Number_of_Physically_Unhealthy_Days,Average_Number_of_Mentally_Unhealthy_Days,Percentage_Low_birthweight,Percentage_Smokers,Percentage_Adults_with_Obesity,Food_Environment_Index,Percentage_Physically_Inactive,Percentage_With_Access_to_Exercise_Opportunities,Alcohol_impaired_driving_deaths,Sexually_transmitted_infections_Chlamydia_Cases,Teen_Birth_Rate,Uninsured,Primary_care_physicians,Dentists,Mental_health_providers,Preventable_Hospitalization_Rate,Percentage_With_Annual_Mammogram,Percentage_Vaccinated,High_school_completion,Some_college,Unemployment,Percentage_Children_in_Poverty,Income_inequality_80th_Percentile_Income,Children_in_single-parent_households,Social_associations,Annual_Average_Violent_Crimes,Injury_deaths,Air_pollution_particulate_matter_Average_Daily_PM,Percentage_Severe_Housing_Problems,Percentage_Drive_Alone_to_Work,Workers_Drive_Alone_to_Work,Life_expectancy,Deaths_Premature_age_adjusted_mortality,Child_mortality_deaths,Infant_mortality_deaths,percentage_Frequent_Physical_Distress,percentage_Adults_with_Diabetes,HIV_Cases,Food_insecurity,Limited_access_to_healthy_foods,Drug_overdose_deaths,Motor_vehicle_crash_deaths,percentage_Insufficient_Sleep,Uninsured_adults,Other_Primary_Care_Provider_Rate,High_School_Graduation_Rate,percentage_Disconnected_Youth,Average_Grade_Performance_Reading_scores,Average_Grade_Performance_Math_scores,Segregation_index_School_segregation,Spending_perpupil_School_funding_adequacy,Gender_pay_gap,Median_household_income,percentage_Enrolled_in_Free_or_Reduced_Lunch_Children_eligible_for_free_or_reduced_price_lunch,Segregation_index_Residential_segregation_Black_white,percentage_household_income_required_for_childcare_expenses_Childcare_cost_burden,Childcare_centers,Homicide_Rate,Suicides,Firearm_fatalities,Juvenile_Arrest_Rate,Traffic_Volume,Homeowners,Severe_housing_cost_burden,percentage_Broadband_Access,Population,percentage_female,rural_residents
Colorado,Park,Colorado_Park,239,13,3.3,4.2,11,16,25,8.1,18,63,5,18,7,1289,5,3,20,1668,38,43,14311,2818,634,11,138663,334,12,18,105,5.3,12,69,8689,85.6,239,71.92515924,115.0238291,10,7,20,1530,1761,12,14,29,1080,11,87,9.393120393,3.1,3,0.03,10911,0.88,77598,30,49.10587103,25,2,7.185520362,47,37,12,17,6357,753,90,18955,47.1,16206
Colorado,Phillips,Colorado_Phillips,1436.113089,17,3.9,4.4,7,17,27,9.1,22,78,0,7,29,435,5,77.17398427,4,3607,41,55,2460,591,66,15,102833,129,8,7,26,5.7,13,72,1856,77.5,58,71.92515924,115.0238291,12,8,376.6380917,340,73,125.2815804,97.09736158,31,327,137,88.27858293,9.393120393,3.007479324,2.980549369,0.14,10575,0.71,57385,48,49.10587103,44,2,7.185520362,94.68310727,87.70101277,14,29,1255,87,75,4367,50.5,4442
Colorado,Pitkin,Colorado_Pitkin,97,10,2.7,3.5,10,11,21,9,15,93,1,44,5,1500,15,12,69,746,46,55,13325,4042,1176,5,156787,760,31,11,67,4.9,15,52,11678,92.5,97,71.92515924,115.0238291,8,6,22,1560,338,125.2815804,97.09736158,28,1236,73,93,9.393120393,3.2,3.1,0.17,19901,0.96,93634,12,49.10587103,26,17,7.185520362,19,11,15,272,5002,867,93,17894,47.8,7580
Colorado,Prowers,Colorado_Prowers,205,20,4.2,4.4,8,17,29,7.2,26,64,3,44,32,1383,5,8,27,3560,28,34,6268,1549,276,22,89094,653,11,7,50,6.1,15,84,5233,76.2,205,71.92515924,115.0238291,13,10,10,1490,1584,125.2815804,11,32,1157,149,92,9.393120393,2.9,2.9,0.06,11360,0.93,47463,63,49.10587103,29,4,7.185520362,11,87.70101277,13,190,3092,470,83,12106,50,4755
Colorado,Pueblo,Colorado_Pueblo,2991,20,4,4.2,10,18,31,6.4,24,81,47,1163,27,12543,118,117,944,3460,40,50,104032,25568,6318,18,98251,11906,132,1031,976,6.1,17,82,68835,75.1,2991,94,84,13,10,238,23230,27276,175,198,36,11117,121,86,13,3,2.7,0.09,9471,0.85,50885,63,49,32,52,9,236,192,14,286,42440,9663,80,169823,50.7,22513
Colorado,Rio Blanco,Colorado_Rio Blanco,67,16,3.8,4.5,9,17,26,8.5,20,87,2,15,13,479,10,5,17,3152,39,26,3943,1082,160,11,106931,268,7,7,30,8.5,11,75,2682,79.5,67,71.92515924,115.0238291,12,8,376.6380917,700,138,125.2815804,97.09736158,33,364,126,88.27858293,9.393120393,3,3,0.03,10722,0.69,64039,34,49.10587103,43,2,7.185520362,13,87.70101277,19,40,1866,285,87,6342,48.8,6666
Colorado,Rio Grande,Colorado_Rio Grande,193,20,4.1,4.2,12,16,28,7.6,25,62,0,42,29,1227,11,7,3,4506,32,29,6752,1685,385,20,100093,616,15,23,86,5.4,17,82,4424,76,193,71.92515924,115.0238291,13,10,10,1550,608,16,16,32,1035,115,86,9.393120393,2.5,2.6,0.09,12020,1.04,51416,61,49.10587103,25,7,7.185520362,18,11,9,114,3260,554,66,11296,50.2,7493
Colorado,Routt,Colorado_Routt,181,12,3.1,3.9,9,14,22,8.8,16,75,11,86,7,2043,33,26,81,843,49,51,17987,5861,1277,6,143571,656,31,38,86,5.4,16,68,14141,84.1,181,71.92515924,115.0238291,9,6,27,2350,579,125.2815804,19,29,1728,94,92,9.393120393,3.5,3.3,0.03,14192,0.87,82330,17,79,36,20,7.185520362,17,12,12,139,7533,1507,91,25560,48.1,10621
Colorado,Saguache,Colorado_Saguache,106,22,4.3,4.5,13,17,32,6.8,26,20,5,19,29,899,1,1,8,3740,22,30,4219,529,242,29,83417,388,10,11,40,5.1,21,66,2854,78.8,106,71.92515924,115.0238291,14,10,11,840,961,125.2815804,12,33,748,14,88.27858293,9.393120393,2.8,2.9,0.38,16904,0.9,56012,83,53,21,5,7.185520362,10,87.70101277,13,7,2040,351,73,6938,50.4,6108
Colorado,San Juan,Colorado_San Juan,1436.113089,14,3.4,4,8.21113307,15,26,5.9,18,100,1,593.7559524,26.14933965,65,1,0,1,4043.9236,29,61,484,137,34,17,127111,15,0,1,408.1056964,5.1,17,57,336,76.89593099,1338.271252,71.92515924,115.0238291,10,7,376.6380917,60,203,125.2815804,97.09736158,31,59,0,88.27858293,9.393120393,3.007479324,2.980549369,0.086431034,12514.70415,0.94,54387,54,49.10587103,29,1,7.185520362,94.68310727,87.70101277,24.62576375,5,165,35,78,748,44.8,699
Colorado,San Miguel,Colorado_San Miguel,1436.113089,11,3,3.7,8,12,23,8.6,16,79,4,20,26.14933965,844,7,5,23,4043.9236,39,42,5948,1981,592,8,131523,237,4,9,32,5.2,27,54,4998,93.6,48,71.92515924,115.0238291,9,6,5,850,147,125.2815804,97.09736158,28,709,62,96,9.393120393,3.7,3.3,0.03,16507,0.96,77099,21,49.10587103,28,10,7.185520362,94.68310727,87.70101277,14,24,2161,651,83,8105,46.8,7359
Colorado,Sedgwick,Colorado_Sedgwick,1436.113089,19,4.3,4.7,8,19,28,7.7,24,55.14122635,2,593.7559524,26.14933965,199,1,1,316.050034,5864,24,20,1413,401,40,22,99094,138,4,8,14,5.5,14,71,1010,76.8,49,71.92515924,115.0238291,13,9,5,320,120,125.2815804,97.09736158,32,158,133,83,9.393120393,3.007479324,2.980549369,0.06,12437,0.66,43354,58,49.10587103,35,3,7.185520362,94.68310727,87.70101277,0,1,645,85,79,2260,50.3,2379
Colorado,Summit,Colorado_Summit,163,12,3,3.7,13,13,21,9.2,16,100,5,109,12,3217,21,31,103,1440,45,56,22023,8102,2198,6,144881,732,23,53,71,4.9,22,67,18793,93.5,163,71.92515924,115.0238291,9,6,45,2460,412,125.2815804,12,30,2831,72,95,9.393120393,3.1,3,0.06,12704,0.91,91079,34,49.10587103,30,16,7.185520362,30,15,13,279,7986,1326,89,30631,45.4,5464
Colorado,Teller,Colorado_Teller,334,12,3.2,4.1,14,14,24,8.7,16,80,6,33,13,1544,12,13,51,2310,35,42,18607,3589,968,12,116196,689,27,57,94,5.5,14,74,11869,81.5,334,71.92515924,115.0238291,10,7,18,2350,753,13,16,31,1296,55,81,9.393120393,3,2.8,0.03,12979,0.78,62845,39,56,31,9,7.185520362,48,33,11,94,8489,1144,90,25529,49.3,14618
Colorado,Washington,Colorado_Washington,74,16,3.9,4.6,7,18,27,7.4,22,39,6,4,19,386,3,2,2,2259,39,19,3126,746,91,18,95450,229,7,7,35,5.8,12,71,2241,76.7,74,71.92515924,115.0238291,12,8,376.6380917,510,672,125.2815804,16,33,292,103,88.27858293,9.393120393,2.9,3,0.08,15383,0.81,59174,54,49.10587103,18,4,7.185520362,94.68310727,87.70101277,20,49,1453,237,82,4875,47.9,4814
Colorado,Weld,Colorado_Weld,2954,16,3.6,4.1,8,15,28,8.7,21,78,85,1508,21,30273,185,152,885,2666,43,51,178345,57056,11624,10,129936,16353,193,772,1178,9.6,14,78,153676,80.3,2954,137,131,11,8,236,25430,14953,139,349,32,25221,70,85,6,3,3,0.16,11270,0.79,77937,40,70,25,106,3,288,197,16,213,76049,13135,88,333983,49.4,51728
Colorado,Yuma,Colorado_Yuma,102,18,4,4.4,7,17,25,8.1,23,67,2,14,25,1194,5,5,10,3890,36,30,5776,1402,159,16,106858,643,15,1,44,5.7,13,74,4783,79.7,102,71.92515924,115.0238291,12,9,11,1100,582,125.2815804,17,33,917,90,88,9.393120393,3.2,3.1,0.07,12078,0.93,82124,58,43,17,6,7.185520362,94.68310727,87.70101277,8,79,2889,335,79,10047,49.7,6519
Connecticut,Fairfield,Connecticut_Fairfield,7831,13,3.2,3.8,7,11,24,8.7,22,95,78,3507,8,72442,890,886,3189,3230,48,54,582871,163083,37044,11,214628,43680,883,2219,2728,7.9,21,69,468102,82.1,7831,244,274,9,8,2703,91810,27673,612,381,33,61986,122,90,4,3.3,3.1,0.2,22485,0.78,98828,38,60,22,405,3,420,206,24.62576375,896,230123,63876,90,942426,51.3,42028
Connecticut,Hartford,Connecticut_Hartford,10100,15,3.4,4.1,9,13,30,8.3,24,93,105,4505,11,43194,858,957,5025,3434,48,56,561754,161886,38682,14,150462,52744,890,2361,3493,8.1,17,79,440788,79.4,10100,271,353,10,9,3110,101420,32775,1018,458,35,38360,191,84,6,3.1,2.9,0.21,20833,0.83,73476,45,61,25,327,4,491,234,24.62576375,564,226863,52583,86,889226,51.4,48354
Connecticut,Litchfield,Connecticut_Litchfield,2380,13,3.3,4.2,6,14,28,8.5,20,77,31,325,6,8618,105,119,517,3094,44,55,126375,26664,7007,8,149438,6586,177,122,783,4.5,14,81,94278,79.2,2380,47,36,10,7,237,18880,6404,236,135,33,7601,70,92,6,3.3,3.2,0.08,25679,0.81,79512,38,48,25,66,2,123,60,24.62576375,170,57002,10214,89,179610,50.5,78722
Connecticut,Middlesex,Connecticut_Middlesex,1865,12,3.2,4.1,7,13,28,8.3,21,86,23,453,4,5840,122,127,748,3678,46,58,113399,28008,6010,7,162084,6397,173,117,667,7.8,14,80,85678,80.8,1865,24,32,9,7,290,16320,9571,178,114,33,5130,120,96,3,3.3,3.2,0.12,23845,0.84,89970,31,67,20,79,2,112,43,24.62576375,298,49826,8950,87,161657,51.2,40657
Connecticut,New Haven,Connecticut_New Haven,10089,16,3.5,4.2,8,15,32,8,25,92,107,4337,11,47465,758,669,4160,3686,44,55,540269,143916,36502,14,144268,52693,681,2650,3621,8.6,19,77,420922,79.2,10089,280,337,11,10,3323,101640,42048,1009,526,38,42746,177,88,5,3,2.9,0.23,20435,0.82,72517,51,58,26,334,4,484,259,24.62576375,683,206810,56705,85,851948,51.8,31394
Connecticut,New London,Connecticut_New London,3277,14,3.5,4.3,7,14,31,7.8,25,84,45,946,10,12556,171,207,1125,3694,48,53,174550,44768,12679,11,144647,13395,260,432,1173,6,15,79,135907,79.5,3277,61,66,11,8,556,31300,21046,327,175,38,11230,106,89,5,3.3,3.2,0.14,21363,0.73,77202,44,51,21,90,2,179,74,24.62576375,266,73565,13567,89,264999,49.9,70729
Connecticut,Tolland,Connecticut_Tolland,1364,13,3.2,4.1,7,14,27,8.3,21,59,23,362,2,5013,80,75,412,3497,47,58,91460,24815,5236,6,162400,4653,105,408.619451,505,7.4,13,79,76325,81.3,1364,27,22,10,7,141,14810,9997,127,89,33,4445,78,94,4,3.4,3.2,0.09,21535,0.85,87247,27,56,20,53,1,116,47,24.62576375,137,40181,7253,90,150600,49.9,58340
Connecticut,Windham,Connecticut_Windham,1587,16,3.8,4.5,8,17,31,8.1,24,66,20,335,11,6018,54,57,438,3531,46,55,72977,16900,4849,13,125365,6702,104,408.619451,524,7,14,82,55570,78,1587,37,34,12,9,190,14720,3041,147,109,37,5372,66,85,7,3.1,2.9,0.24,21397,0.81,66349,48,59,24,34,2,93,32,24.62576375,150,31038,5465,86,116540,50.4,58931
Delaware,Kent,Delaware_Kent,2586,20,4.3,4.8,9,19,41,7.8,31,51,33,1416,18,13058,84,73,372,5370,49,54,105686,27411,6872,16,110155,14061,160,777,692,6.7,16,81,80399,77.1,2586,75,104,14,12,483,21960,10546,194,193,39,10877,101,88,7,3.3,3.2,0.06,14069,0.86,61538,54.38782778,28,24,77,5,110,96,60,305,46326,9157,87,183643,51.9,43774
Delaware,New Castle,Delaware_New Castle,7241,17,3.7,4.3,9,15,33,8.2,27,94,66,3400,14,30759,514,323,2050,4546,51,56,356101,97231,23039,14,143777,33769,600,3067,2464,8.6,14,77,272148,77.9,7241,269,329,12,10,2086,58290,32430,775,405,37,26050,173,90,5,2.9,2.8,0.14,17612,0.83,75145,54.38782778,47,24,303,8,321,349,42,730,142188,26972,89,561531,51.6,24783
Delaware,Sussex,Delaware_Sussex,3644,19,4,4.6,8,18,35,8,27,64,50,1048,29,17093,138,55,495,4009,52,56,154240,25046,7990,17,123389,11584,236,870,1055,7.5,14,82,99380,78.4,3644,72,86,13,10,703,25200,13549,311,258,36,14462,91,87,8,3.1,3.1,0.08,13637,0.84,69829,54.38782778,43,20,78,3,148,112,45,145,76401,11505,84,241635,51.8,81428
District of Columbia,District of Columbia,District of Columbia_District of Columbia,8978,15,3.3,3.9,10,14,28,8.7,20,100,43,9327,22,23635,873,863,3973,4509,34,41,461175,221287,32895,22,198673,58448,1992,8218,3317,9.5,21,32,379090,78,8978,347,446,10,10,14041,70480,9664,989,272,36,21358,198,69,6,2.9,2.8,0.35,22406,0.88,91957,54.38782778,69,24,277,20,223,640,24,3580,122648,46785,86,712816,52.6,0
Florida,Alachua,Florida_Alachua,2999,19,4.4,4.9,10,16,32,7.5,25,87,80,2672,11,26882,429,508,1815,4233,48,49,152507,55146,7235,15,108853,15112,250,1455,925,6.2,20,74,124639,78.6,2999,148,175,14,11,1009,35680,17836,95,226,36,23932,315,88,6,3.3,3.3,0.08,9707,0.88,51995,46,40,35,81,4,169,132,39,386,55696,18886,86,271218,51.8,52419
Florida,Baker,Florida_Baker,485,23,4.8,5.5,10,24,33,6.8,33,66,11,146,42,2484,8,12,34,6232,40,39,16438,3697,580,17,118242,1456,19,128,124,7.9,10,82,10723,75.5,485,21,22,16,11,117,3430,4630,17,44,43,2092,91,79,9.393120393,3.5,3.5,0.01,8831,0.77,61514,45,34,21,9,6,21,25,28,81,6756,678,81,29566,47.4,16131
Florida,Bay,Florida_Bay,3172,20,4.5,5.2,8,22,32,6.9,31,62,27,744,32,20640,107,95,479,3708,35,40,116274,30559,5017,20,103713,10791,141,901,850,8.1,16,81,84080,76.1,3172,108,127,14,10,496,27310,17453,149,222,40,18280,157,83,5,3.2,3.4,0.08,8589,0.78,61332,48,45,25,71,6,220,165,44,288,49474,9833,88,171322,50.4,20262
Florida,Bradford,Florida_Bradford,510,26,5.4,5.7,11,27,38,7.6,36,53,12,160,41,2568,7,7,32,6952,45,35,15997,2693,641,22,85335,1847,29,120,155,7.7,17,79,9911,75.5,510,19,20,18,13,73,4480,107,15,59,41,2228,87,88,9.393120393,3.1,3.3,0.05,11272,0.9,48260,62,38,26,11,7,21,21,34,116,6147,1565,76,28593,44.5,21541
Florida,Brevard,Florida_Brevard,10051,19,4.3,4.9,8,18,29,7.3,27,85,91,2098,16,62753,441,370,1045,3827,42,40,408277,90214,18724,14,116486,26468,443,2807,3506,5.4,15,81,257455,77.4,10051,200,213,13,10,1658,70100,65514,926,602,41,56264,116,88,6,3.3,3.3,0.08,9130,0.79,65871,49,49,24,151,6,660,487,24,331,178469,31960,89,608459,51.1,27573
Florida,Broward,Florida_Broward,21267,22,4.2,4.5,10,15,31,8.7,28,97,156,12167,13,282874,1444,1528,4070,4571,37,38,1232527,354278,90289,14,124258,130901,1093,7570,7261,9.2,24,78,954804,80.9,21267,707,775,13,12,19821,190080,41583,1660,1695,41,247953,126,87,6,3.3,3.3,0.16,9740,0.86,63901,57,54,29,686,6,1183,1075,17,952,442633,147362,86,1958105,51.2,296
Florida,Calhoun,Florida_Calhoun,283,25,5.2,5.6,9,25,36,5.9,34,15,4,66,37,1559,5,8,5,5017,33,25,8199,1272,246,29,83233,726,11,25,56,8,13,78,4620,75.4,283,71.92515924,115.0238291,16,11,26,2110,2995,125.2815804,23,41,1330,78,88,9.393120393,3.3,3.6,0.09,11567,0.94,43994,51,52,32,4,7.185520362,94.68310727,87.70101277,14,22,3528,395,72,14078,46.1,9874
Florida,Charlotte,Florida_Charlotte,3214,20,4.4,5.1,9,19,29,6.8,25,80,39,300,19,19097,113,97,220,3770,55,53,139967,15848,5214,16,99535,5989,107,343,698,7.5,15,79,63285,80.8,3214,50,43,14,10,318,24510,22084,65,195,40,17066,102,86,11,3.4,3.5,0.04,9650,0.83,58368,47,50,30,40,2,191,134,28,158,65110,10501,87,194711,51.2,14213
Florida,Citrus,Florida_Citrus,3539,22,4.9,5.5,8,23,32,6.3,29,75,33,385,26,15868,75,49,121,3635,47,45,105801,11249,3918,23,86912,6603,116,412,1022,7.9,13,81,46462,74.5,3539,57,62,16,11,242,22460,22123,164,240,43,14070,122,89,9,3.3,3.3,0.02,9416,0.81,48574,65,47,30,40,4,202,163,23,66,53954,7040,85,153010,51.6,48753
Florida,Clay,Florida_Clay,2968,19,4.3,5,8,20,33,7.9,28,82,31,1004,16,23029,112,115,247,3544,40,40,136327,36647,5654,13,123765,10066,155,545,951,8.5,13,79,100071,77.5,2968,85,82,14,11,418,22750,16385,194,251,41,19799,118,93,6,3.4,3.5,0.08,8396,0.82,72520,38,45,23,80,4,191,153,14,206,58016,7463,92,221770,50.8,28570
Florida,Collier,Florida_Collier,3577,19,4.1,4.5,7,16,26,8.2,25,92,46,1124,19,54372,309,265,421,2960,54,56,255503,38900,12210,15,149515,16778,278,931,1555,8.2,20,74,155758,86.1,3577,80,104,13,10,985,37520,22566,234,270,34,47468,108,92,6,3.3,3.4,0.16,11268,0.9,81895,62,57,23,98,2,270,177,26,264,110083,24264,87,392973,50.8,27284
Florida,Columbia,Florida_Columbia,1375,23,5,5.5,11,26,36,7.6,33,64,31,453,36,7488,31,42,183,5811,45,41,41728,8595,1726,23,93539,3818,55,390,353,7.9,14,81,25971,75,1375,56,62,16,12,329,9990,3005,43,122,42,6519,147,92,25,3.2,3.3,0.08,9225,0.84,46670,53,35,26,33,8,75,60,29,121,18301,2410,82,72654,48.4,41908
Florida,DeSoto,Florida_DeSoto,615,31,5.7,5.4,8,23,37,7,38,50,25,92,40,6914,9,7,58,5039,48,43,20105,2336,741,28,69774,2090,31,155,173,7.2,17,69,13151,80,615,15,115.0238291,19,15,133,5930,2456,19,67,39,6303,86,71,9.393120393,2.6,2.7,0.01,9880,0.9,45807,61,57,27,15,7,29,27,45,112,8555,1162,63,38520,44,16121
Florida,Dixie,Florida_Dixie,398,27,5.5,5.9,10,28,36,7.2,35,25,6,107,43,1918,3,1,3,4334,35,34,10003,1134,321,31,82833,764,12,76,102,7.3,12,76,5161,75.2,398,11,115.0238291,18,12,44,2870,494,10,28,40,1671,41,93,9.393120393,3.3,3.3,0.04,9728,0.9,41450,66,42,32,2,12,16,15,28,24,5151,254,66,17057,45,12649
Florida,Duval,Florida_Duval,15064,21,4.4,5,10,19,34,7.4,30,90,215,7895,26,114072,806,789,2201,4871,43,44,585720,182200,32633,21,110078,72313,834,5961,5320,8.7,17,79,465353,75.5,15064,655,754,14,11,6239,117700,84231,1217,1035,40,101260,202,87,9,3.1,3.3,0.15,9116,0.87,55202,49,51,29,378,14,787,1025,18,518,211163,53629,86,966728,51.6,25163
Florida,Escambia,Florida_Escambia,5682,21,4.5,5.2,11,20,31,7.1,28,72,62,2355,28,34595,237,224,695,4070,39,39,193591,54938,9671,20,102886,21363,287,2060,1505,7.6,12,74,142278,74.5,5682,187,214,14,12,1289,40850,36630,319,385,41,30691,206,86,8,3.1,3.1,0.09,9138,0.82,57089,53,41,26,109,8,310,281,48,381,76772,14730,85,322364,50.7,24709
Florida,Flagler,Florida_Flagler,1826,19,4.5,5.1,8,21,33,6.7,26,80,29,317,15,12438,59,41,85,4103,51,46,79470,12864,3553,16,111922,4987,67,254,516,7.3,15,80,44454,79.1,1826,38,33,14,10,229,13350,17135,98,125,39,10742,67,89,9.393120393,3.3,3.4,0.01,8784,0.87,67054,55,31,24,27,3,130,77,24,134,33681,5805,77,118451,51.9,9877
Florida,Franklin,Florida_Franklin,232,24,5.2,5.5,9,25,32,7.7,33,57,3,29,57,1324,3,3,10,5128,36,33,7543,1012,252,31,98212,463,17,32,60,7.5,14,81,4132,76.7,232,71.92515924,115.0238291,17,12,20,1870,78,10,19,40,1160,57,73,9.393120393,3,2.9,0,12736,0.87,47206,59,55,29,8,7.185520362,94.68310727,87.70101277,41,51,3557,564,80,12201,43.6,7858
Florida,Gadsden,Florida_Gadsden,876,27,5.3,5.5,13,22,39,7.9,35,49,25,515,36,5549,10,10,63,4873,41,33,26179,5397,1245,35,77751,4715,45,151,185,8.6,13,84,17196,75.5,876,23,38,17,15,254,6240,1250,14,71,43,4833,31,62,16,2.8,3.2,0.06,12121,0.87,42698,85,42,31,19,10,31,39,25,70,12643,1977,64,45277,52.4,30329
Florida,Gilchrist,Florida_Gilchrist,315,25,5.3,5.8,8,25,34,7.9,32,30,15,69,31,2347,7,5,22,4853,40,37,10884,1596,345,23,91314,993,10,55,95,7.5,11,78,7096,77.1,315,13,115.0238291,17,11,24,2700,12,125.2815804,35,39,2003,69,88,9.393120393,3.3,3.6,0.02,10726,0.87,52000,50,81,26,3,11,20,18,30,22,5529,510,70,18885,48.3,14215
Florida,Glades,Florida_Glades,236,28,5.5,5.4,9,24,37,5.8,37,10,13,54,17,2241,84.03515233,4,316.050034,4485,41,41,7617,1082,289,24,85827,437,6,32,70,7.2,16,72,3555,84.1,236,71.92515924,115.0238291,18,14,90,1840,3082,11,34,40,1932,42,93,9.393120393,3.1,3.4,0.21,10972,0.71,45328,38,64,36,4,7.185520362,12,87.70101277,30,53,3894,371,65,14198,44.4,9101
Florida,Gulf,Florida_Gulf,309,22,4.7,5.4,7,23,28,7.9,31,48,0,52,32,1314,7,6,19,4392,38,44,10169,1960,298,25,103221,550,18,63,76,7.6,16,72,5471,75,309,71.92515924,115.0238291,15,10,29,2180,300,11,20,41,1133,111,83,9.393120393,3,3.2,0.04,14445,0.81,51593,57,26,29,5,7.185520362,16,11,23,45,4460,716,78,13534,49.9,12228
Florida,Hamilton,Florida_Hamilton,269,31,5.8,5.8,11,28,38,6.2,38,40,11,119,46,1369,1,3,2,5221,42,39,7972,1075,319,35,72052,556,9,48,74,7.8,19,71,3839,75.4,269,71.92515924,115.0238291,20,14,150,2730,1408,125.2815804,28,41,1196,14,73,9.393120393,2.9,3.2,0,11212,0.83,41871,66,31,31,5,17,11,14,98,27,3168,508,68,14521,42.2,9395
Florida,Hardee,Florida_Hardee,358,32,5.8,5.4,8,23,38,6.6,41,56,13,129,44,4077,3,11,6,4555,37,38,13245,1799,551,28,79591,2018,25,75,130,7.3,14,80,9432,79.1,358,12,115.0238291,19,15,59,4110,3611,16,55,40,3581,45,81,9.393120393,3.2,3.4,0.01,9895,0.98,46264,66,43,27,15,7.185520362,18,14,64,132,5354,665,65,26822,47.3,13258
Florida,Hendry,Florida_Hendry,567,34,5.8,5.3,8,22,42,7.1,42,51,14,203,37,9450,11,18,15,3898,36,33,18403,4651,1257,31,85409,4003,33,215,194,7.6,22,61,18344,77.7,567,24,21,19,16,137,6270,2838,25,84,42,8268,49,84,9.393120393,2.9,3,0.07,9699,0.8,45652,65,60,36,17,10,30,37,33,103,9058,2092,76,42813,47.3,14831
Florida,Hernando,Florida_Hernando,3556,22,4.7,5.2,9,21,33,6.9,31,76,32,587,19,21668,106,72,174,4768,42,43,126303,23601,5769,20,94920,7522,117,459,1136,8,13,79,71476,76.7,3556,74,75,15,11,389,25990,21319,168,251,39,19271,86,89,6,3.3,3.4,0.02,8715,0.82,52108,53,35,25,54,4,186,149,23,124,60806,9513,87,198792,51.7,33476
Florida,Highlands,Florida_Highlands,2006,26,5,5.2,9,21,32,6.1,32,72,32,379,30,13536,61,44,80,4527,42,41,68583,8600,2674,27,80323,4970,113,301,596,7.3,14,79,33657,77.8,2006,46,42,16,13,255,15730,17493,91,175,37,12072,91,81,14,3,3.2,0.03,9424,0.88,48922,60,51,29,34,6,133,107,46,128,32883,4118,77,106639,51.3,20810
Florida,Hillsborough,Florida_Hillsborough,16654,21,4.3,4.6,9,16,30,7.8,27,92,269,9078,20,184263,1223,884,2911,4654,39,43,887397,277517,53788,14,122819,95521,1027,4195,5399,8.2,18,77,707085,79.1,16654,712,839,13,11,7043,164350,101032,1044,1352,38,165496,166,87,7,3.1,3.1,0.14,9077,0.84,65272,58,45,26,524,5,979,853,24,590,320042,84551,90,1497957,51,43181
Florida,Holmes,Florida_Holmes,499,27,5.6,6,8,27,41,5.5,36,19,7,72,45,2563,7,8,16,3841,34,39,11347,1872,378,31,75520,1197,21,61,101,8.2,14,85,7019,72.5,499,71.92515924,115.0238291,19,13,27,3510,3716,12,41,42,2244,66,85,9.393120393,3.2,3.1,0.04,9848,0.96,41969,52,52,33,6,7.185520362,22,17,23,5,5421,594,76,19594,46.9,15697
Florida,Indian River,Florida_Indian River,2328,19,4.4,4.9,8,18,29,7.2,27,73,27,451,21,19417,96,114,247,3234,48,52,109362,15760,4751,16,115559,6194,151,376,765,7.1,14,80,59079,80.7,2328,40,47,14,10,397,18360,18467,108,144,37,17359,120,88,9.393120393,3.2,3.3,0.07,9817,0.86,72934,56,59,19,48,5,154,123,28,189,48767,7555,84,162518,52,6857
Florida,Jackson,Florida_Jackson,1044,26,5.3,5.6,9,26,39,7.3,38,29,12,283,34,4557,19,13,67,5902,42,35,28693,5324,933,30,79019,2288,51,166,243,8.4,13,88,16333,73,1044,37,32,18,13,449,7340,2703,25,114,40,3877,150,85,9,3.3,3.4,0.11,10170,0.82,44108,54,38,33,15,8,39,40,24,38,12553,1770,77,46085,46,37490
Florida,Jefferson,Florida_Jefferson,260,24,5,5.4,11,23,33,7.8,32,43,4,81,21,1417,5,5,8,4934,36,31,9080,1504,298,26,101496,812,13,123,74,8.2,12,82,5328,76.7,260,11,115.0238291,16,12,130,1810,857,12,21,39,1201,14,88.27858293,9.393120393,2.8,2.9,0.01,9592,0.86,54354,73,21,25,7,7.185520362,14,13,43,38,4234,515,75,14543,47.7,14761
Florida,Lafayette,Florida_Lafayette,148,27,5.4,5.6,8,26,37,8.3,36,41,2,25,19,1115,1,77.17398427,1,5349,42,32,4440,828,117,28,86212,133,15,18,37,7.5,17,90,2663,76.5,148,71.92515924,115.0238291,17,12,13,910,404,125.2815804,17,41,932,47,98,9.393120393,3.3,3.5,0,9786,0.94,41635,54,42,28,3,7.185520362,94.68310727,87.70101277,24.62576375,44,1802,251,75,8482,44,8870
